batch_date|location_iso|location|new_cases|new_deaths|new_recovered|new_active_cases|total_cases|total_death|total_recovered
3/1/2020|ID-JK|DKI Jakarta|2|0|0|2|39|20|75
3/2/2020|ID-JK|DKI Jakarta|2|0|0|2|41|20|75
3/2/2020|IDN|Indonesia|2|0|0|2|2|0|0
3/2/2020|ID-RI|Riau|1|0|0|1|1|0|1
3/3/2020|ID-JK|DKI Jakarta|2|0|0|2|43|20|75
3/3/2020|IDN|Indonesia|0|0|0|0|2|0|0
3/3/2020|ID-JB|Jawa Barat|1|1|0|0|1|1|60
3/3/2020|ID-RI|Riau|0|0|0|0|1|0|1
3/4/2020|ID-JK|DKI Jakarta|2|0|0|2|45|20|75
3/4/2020|IDN|Indonesia|0|0|0|0|2|0|0
3/4/2020|ID-JB|Jawa Barat|1|0|0|1|2|1|60
3/4/2020|ID-RI|Riau|0|0|0|0|1|0|1
3/5/2020|ID-JK|DKI Jakarta|0|1|0|-1|45|21|75
3/5/2020|IDN|Indonesia|0|0|0|0|2|0|0
3/5/2020|ID-JB|Jawa Barat|1|0|0|1|3|1|60
3/5/2020|ID-RI|Riau|0|0|0|0|1|0|1
3/6/2020|ID-BT|Banten|1|0|1|0|1|5|111
3/6/2020|ID-JK|DKI Jakarta|0|0|0|0|45|21|75
3/6/2020|IDN|Indonesia|2|0|0|2|4|0|0
3/6/2020|ID-JB|Jawa Barat|1|0|0|1|4|1|60
3/6/2020|ID-RI|Riau|0|0|0|0|1|0|1
3/7/2020|ID-BT|Banten|0|0|0|0|1|5|111
3/7/2020|ID-JK|DKI Jakarta|0|2|0|-2|45|23|75
3/7/2020|IDN|Indonesia|0|0|0|0|4|0|0
3/7/2020|ID-JB|Jawa Barat|0|0|0|0|4|1|60
3/7/2020|ID-RI|Riau|0|0|0|0|1|0|1
3/8/2020|ID-BT|Banten|1|0|3|-2|2|5|114
3/8/2020|ID-JK|DKI Jakarta|0|0|0|0|45|23|75
3/8/2020|IDN|Indonesia|2|0|0|2|6|0|0
3/8/2020|ID-JB|Jawa Barat|0|0|0|0|4|1|60
3/8/2020|ID-JT|Jawa Tengah|1|1|0|0|1|10|11
3/8/2020|ID-RI|Riau|0|0|0|0|1|0|1
3/9/2020|ID-BT|Banten|0|0|0|0|2|5|114
3/9/2020|ID-JK|DKI Jakarta|0|1|0|-1|45|24|75
3/9/2020|IDN|Indonesia|13|0|0|13|19|0|0
3/9/2020|ID-JB|Jawa Barat|0|0|0|0|4|1|60
3/9/2020|ID-JT|Jawa Tengah|0|0|0|0|1|10|11
3/9/2020|ID-RI|Riau|0|0|0|0|1|0|1
